city_id,vehicle_cnt,avg_maintenance,avg_total_cost,avg_est_profit
66,1,2826.15,3234.15,-1147.65
40,4,2253.94,2744.3,-477.42
60,29,1625.94,2109.87,85.78
26,5,1747.74,2214.4,91.48
65,17,1676.9,2138.49,136.41
56,7,1530.76,1942.67,143.83
0,587,1537.97,2110.87,148.68
51,18,1558.47,1996.17,177.43
10,1,1448.97,1865.64,220.86
42,62,1504.81,2010.6,229.9
41,146,1328.36,1900.57,351.05
3,7,1401.7,1850.88,370.62
8,78,1375.56,1889.04,375.09
54,11,1387.38,1852.57,432.08
46,5,1136.14,1797.59,452.71
22,246,1198.83,1777.63,478.7
47,12,1356.07,1842.09,481.44
53,272,1191.32,1762.18,484.04
5,1988,1178.3,1778.57,505.88
63,20362,1170.59,1762.7,507.69
32,255,1134.68,1732.55,509.54
23,218,1157.17,1741.66,511.86
39,96,1240.97,1753.46,515.95
14,3,1306.62,1783.58,530.42
64,1133,1141.63,1733.66,548.79
33,23,1183.55,1692.06,577.68
17,117,1141.65,1651.52,581.25
16,57,1154.31,1689.04,584.47
7,84,1170.58,1701.57,587.74
38,35,1133.56,1623.05,589.9
13,1173,1077.73,1665.26,603.41
25,45,1166.12,1671.53,620.19
55,116,1086.13,1656.42,625.51
61,33,1130.15,1671.3,634.46
35,953,1040.59,1615.85,640.0
49,291,1033.28,1620.3,642.97
58,22,1063.13,1500.11,647.0
6,359,1040.43,1628.41,657.58
28,31,1097.5,1553.94,685.55
36,457,1000.12,1579.58,686.73
1,3,1193.11,1691.91,687.09
48,155,984.74,1590.73,694.44
15,113,1018.59,1547.74,699.13
59,3,951.43,1362.32,724.18
2,60,1002.02,1509.09,724.75
19,22,1057.23,1523.23,746.52
18,24,996.3,1497.2,758.43
45,23,972.62,1465.94,763.65
43,2,915.66,1322.42,764.08
57,39,929.79,1412.98,782.05
11,14,1050.44,1541.6,810.1
20,85,1123.93,1718.2,819.36
27,2,1041.48,1526.06,852.94
37,15,878.34,1364.11,894.38
50,2,786.49,1212.19,932.81
34,1,703.89,1111.89,974.61
62,37,755.54,1282.57,975.89
4,10,750.51,1181.73,980.25
9,1,504.31,1104.04,1235.96
21,2,626.17,1125.2,1253.8
24,4,414.53,949.29,1306.21
30,6,481.9,977.33,1401.68
31,5,401.63,861.05,1420.45
52,4,275.46,747.14,1548.29
44,4,156.52,621.53,1659.97
