feature,coef,abs_coef
segment_Unknown,0.3662,0.3662439947411691
recency_months,0.246,0.24599243521818864
segment_C,-0.2271,0.22711918635516357
segment_F,0.1643,0.16427619422576897
frequency,-0.1541,0.15411411253669327
segment_B,-0.1529,0.15291207581156305
fuel_type_Hybrid,-0.1465,0.1465342336143703
active_months_last6m,-0.1368,0.1368388556275472
fuel_type_Petrol,0.1263,0.12625681141381348
segment_E,-0.1057,0.1056624618995551
active_months_last3m,-0.0866,0.08656114214076038
log_monetary,0.0702,0.07023584581622583
max_maintenance,0.0691,0.0691442987045295
tenure_months,-0.0661,0.0661163426022334
fuel_type_Diesel,0.0642,0.06422875468111708
std_maintenance,-0.064,0.06403272623240416
purchase_price,0.0506,0.05062556506043975
maint_last6m,-0.0473,0.04725161510711699
vehicle_age,0.0403,0.040306323695999506
maint_trend_ratio,-0.0374,0.03739895676390701
city_fleet_size,-0.0369,0.03685484217160842
active_trend_ratio,-0.0336,0.033558322294854004
maint_last3m,0.0328,0.03281293016946549
active_density,-0.0148,0.01480224629185978
avg_maintenance,0.0057,0.0057105099960897115
segment_D,-0.0009,0.0008751324201029827
