feature,auc_drop,std
recency_months,0.0094,0.0013
active_density,0.0058,0.0014
vehicle_age,0.0037,0.0006
frequency,0.0031,0.0008
active_months_last6m,0.0025,0.0013
maint_last6m,0.0015,0.0011
std_maintenance,0.0014,0.001
tenure_months,0.0011,0.0008
maint_trend_ratio,0.0011,0.0011
city_fleet_size,0.0009,0.0011
active_months_last3m,0.0004,0.0006
purchase_price,0.0003,0.0006
maint_last3m,0.0003,0.0007
active_trend_ratio,0.0002,0.0003
segment,0.0001,0.0003
fuel_type,-0.0003,0.0005
log_monetary,-0.0014,0.0006
avg_maintenance,-0.0017,0.001
max_maintenance,-0.0018,0.0005
